"conditional","protocol_name"
"GonadWeightLimit","GOA_Summer_Pollock_Length_Weight"
"GonadWeightLimit","GOA_Summer_Pollock_Otolith"
"GonadWeightLimit","GOA_Summer_Pollock_Stomach"
"GonadWeightLimit","Winter_2020_pol_LW_GSI_Otolith"
"GonadWeightLimit","Winter_2021_pol_LW_GSI_Oto_no_projects"
"GonadWeightLimit","Winter_Pollock"
"GonadWeightLimit","Winter_pol_LW_GSI"
"GonadWeightLimit","Winter_pol_LW_GSI_Otolith"
"GonadWeightLimitCollection","Pollock_LW_GSI_Oto_fin_gill"
"GonadWeightLimitCollection","Pollock_LW_GSI_fin_gill"
"LengthSexMaturity","GOA_Summer_Pollock_Length_Weight"
"LengthSexMaturity","GOA_Summer_Pollock_Otolith"
"LengthSexMaturity","GOA_Summer_Pollock_Stomach"
"LengthSexMaturity","Pollock_LW_GSI_Oto_fin_gill"
"LengthSexMaturity","Pollock_LW_GSI_fin_gill"
"LengthSexMaturity","Winter_2020_pol_LW_GSI_Otolith"
"LengthSexMaturity","Winter_2021_pol_LW_GSI_Oto_no_projects"
"LengthSexMaturity","Winter_GOA_otolith_with_finclips"
"LengthSexMaturity","Winter_GOA_standard_with_finclips"
"LengthSexMaturity","Winter_Pollock"
"LengthSexMaturity","Winter_Pollock_Stomach"
"LengthSexMaturity","Winter_pol_LW_GSI"
"LengthSexMaturity","Winter_pol_LW_GSI_Otolith"
"NoOvaryWhenMale","GOA_Summer_Pollock_Length_Weight"
"NoOvaryWhenMale","GOA_Summer_Pollock_Otolith"
"NoOvaryWhenMale","Pollock_LW_GSI_Oto_fin_gill"
"NoOvaryWhenMale","Pollock_LW_GSI_fin_gill"
"NoOvaryWhenMale","Winter_2020_pol_LW_GSI_Otolith"
"NoOvaryWhenMale","Winter_2021_pol_LW_GSI_Oto_no_projects"
"NoOvaryWhenMale","Winter_GOA_otolith_with_finclips"
"NoOvaryWhenMale","Winter_GOA_standard_with_finclips"
"NoOvaryWhenMale","Winter_pol_LW_GSI_Otolith"
"TakingOvaryFemaleRockfish","Conrath2016"
"TakingOvaryPollock","Winter_Pollock_Stomach"
"TakingOvaryPollock","Winter_pol_LW_GSI"
"TakingOvaryRockfish","Conrath_2012"
