"gear","gear_type","gear_code","description","gear_gui_order","active"
"AWT","SingleCodendTrawl","317","Aleutian Wing Trawl","1","0"
"83/112","SingleCodendTrawl","30","Bering Sea Bottom Trawl","3","0"
"PNE","SingleCodendTrawl","172","Poly NorEastern bottom trawl","2","1"
"Methot","PlanktonNet","626","Methot Plankton Net","4","0"
"Tucker","PlanktonNet","628","multi codend plankton net","5","0"
"Marinovich","SingleCodendTrawl","305","small midwater trawl","6","0"
"MOCC","MultiCodendTrawl","999","Multiple opening closing net","7","0"
"StereoDropCam","Camera","998","Chris Rooper's drop camera","8","0"
"LFS1421","SingleCodendTrawl","319","New MACE midwater net replacing AWT","12","1"
"CTD","OceanographySample","994","Generic CTD cast","16","1"
"DropTS","DropTS","996","MACE DropTS system","10","0"
"NorthernGold","SingleCodendTrawl","315","Nothern gold 1200 rope trawl ","13","0"
"NorEastern","SingleCodendTrawl","160","NorEastern trawl","14","0"
"Stauffer","SingleCodendTrawl","302","Modified stauffer midwater trawl","15","0"
"Merik","SingleCodendTrawl","997","F/V Mar Del Norte Merik 11x20 mid-water","9","0"
"Stub","Stub","-999","Entry used for Stub surveys","99","0"
"Bongo","PlanktonNet","995","FOCI Bongo","11","0"
