"gear_accessory","gear_accessory_option","active"
"Flowmeter","1778","0"
"Flowmeter","2220","0"
"Flowmeter","8996","0"
"Doors","FishBuster","1"
"Netsounder","Furuno","1"
"Netsounder","FS70","1"
"Flowmeter","1566","0"
"Flowmeter","1567","0"
"Liner","0.125","1"
"Liner","0.375","0"
"Liner","0.5","1"
"Liner","1.25","0"
"Tomweights","0","1"
"Tomweights","1000","0"
"Tomweights","250","1"
"Tomweights","500","1"
"Tomweights","750","1"
"Flowmeter","0358","0"
"Flowmeter","1768","0"
"Flowmeter","1769","0"
"Flowmeter","9752","0"
"Flowmeter","9112","0"
"Flowmeter","1765","0"
"Flowmeter","0357","0"
"Flowmeter","4270","0"
"Flowmeter","4967","0"
"Flowmeter","7200","0"
"Flowmeter","4966","0"
"Tomweights","100","0"
"Flowmeter","8897","0"
"Flowmeter","9107","0"
"Netsounder","Wesmar","0"
"Tomweights","1250","0"
"Tomweights","1500","0"
"RACE_accessory_code","105","0"
"RACE_accessory_code","107","0"
"RACE_accessory_code","99","0"
"RACE_accessory_code","16","0"
"RACE_accessory_code","98","0"
"RACE_accessory_code","5","0"
"RACE_accessory_code","57","0"
"RACE_accessory_code","15","0"
"RACE_accessory_code","58","0"
"RACE_accessory_code","109","0"
"RACE_accessory_code","111","0"
"RACE_accessory_code","108","0"
"RACE_accessory_code","112","0"
"RACE_accessory_code","110","0"
"Flowmeter","9105","0"
"Flowmeter","9901","0"
"Flowmeter","9403","1"
"Flowmeter","0374","0"
"Flowmeter","7951","0"
"Flowmeter","7953","0"
"Doors","5m2 2000V Midwater","1"
"Doors","6x9 V Doors","0"
"Netsounder","ITI","0"
"Tomweights","400","0"
"Flowmeter","8421","1"
"Flowmeter","9837","1"
"Flowmeter","8418","0"
"Flowmeter","8419","0"
"Flowmeter","9836","0"
"Doors","Tiburon","0"
"RACE_accessory_code","0","0"
"Flowmeter","4960","0"
"Flowmeter","4981","0"
"RACE_accessory_code","113","0"
"RACE_accessory_code","119","0"
"RACE_accessory_code","120","0"
"RACE_accessory_code","121","0"
"RACE_accessory_code","133","0"
"RACE_accessory_code","134","0"
"RACE_accessory_code","137","0"
"RACE_accessory_code","138","0"
"RACE_accessory_code","139","0"
"RACE_accessory_code","142","0"
"RACE_accessory_code","143","0"
"RACE_accessory_code","145","0"
"RACE_accessory_code","146","0"
"RACE_accessory_code","147","0"
"RACE_accessory_code","149","0"
"RACE_accessory_code","150","0"
"RACE_accessory_code","151","0"
"RACE_accessory_code","152","0"
"RACE_accessory_code","999","0"
"Flowmeter","2910","0"
"Flowmeter","9103","0"
"RACE_accessory_code","114","0"
"RACE_accessory_code","117","0"
"Netsounder","TrawlEye","1"
