"gear","event_type","performance_code","gear_accessory","event_parameter","basket_type","partition","haultype_gui_order","perf_gui_order"
"83/112","0","1","Doors","DoorsOut","Measure","MainTrawl","4","0"
"83/112","3","6","Netsounder","EQ","Toss","Codend","5","0"
"83/112","6","0","Liner","Haulback","Count","","6","0"
"83/112","7","5","","DoorsIn","","","7","0"
"83/112","14","7","","ProtectedSppObsStart","","","1","0"
"83/112","8","","","ProtectedSppObsEnd","","","2","0"
"LFS1421","1","7","Doors","ProtectedSppObsStart","Measure","MainTrawl","1","0"
"LFS1421","2","5","Netsounder","ProtectedSppObsEnd","Toss","Codend","2","0"
"LFS1421","7","6","Tomweights","DoorsOut","Count","","4","0"
"LFS1421","8","0","Liner","EQ","","TrawlDeck","5","0"
"LFS1421","11","2.1","","Haulback","","","6","0"
"LFS1421","","1","","DoorsIn","","","7","0"
"Marinovich","1","6","Doors","NetInWater","Measure","MainTrawl","1","0"
"Marinovich","2","2.1","Netsounder","DoorsOut","Toss","Codend","2","0"
"Marinovich","7","5","Liner","EQ","Count","P-Net B1","3","0"
"Marinovich","8","1","","Haulback","","P-Net B2","4","0"
"Marinovich","11","0","","DoorsIn","","P-Net B3","5","0"
"Marinovich","","7","","NetOnDeck","","P-Net B4","6","0"
"Methot","2","0","Flowmeter","NetInWater","Measure","MainTrawl","3","0"
"Methot","8","1","","EQ","Toss","Codend","4","0"
"Methot","11","2.1","","Haulback","Count","","5","0"
"Methot","","6","","NetOutOfWater","Preserve","","6","0"
"Methot","","5","","ProtectedSppObsEnd","","","2","0"
"Methot","","7","","ProtectedSppObsStart","","","1","0"
"PNE","0","1","Doors","DoorsOut","Measure","MainTrawl","4","0"
"PNE","3","6","Netsounder","EQ","Toss","Codend","5","0"
"PNE","6","0","Liner","Haulback","Count","TrawlDeck","6","0"
"PNE","7","5","","DoorsIn","","","7","0"
"PNE","14","7","","ProtectedSppObsStart","","","1","0"
"PNE","8","","","ProtectedSppObsEnd","","","2","0"
"MOCC","1","7","Doors","DoorsOut","Measure","MainTrawl","1","0"
"MOCC","2","5","Netsounder","EQ","Toss","Codend_1","2","0"
"MOCC","7","6","Tomweights","Haulback","Count","Codend_2","3","0"
"MOCC","8","0","Liner","EQ","","Codend_3","4","0"
"MOCC","11","2.1","","Haulback","","PocketNet","5","0"
"MOCC","","1","","EQ","","","6","0"
"MOCC","","","","Haulback","","","7","0"
"MOCC","","","","DoorsIn","","","8","0"
"AWT","","","","","","PocketNet_AWT_4","",""
"StereoDropCam","12","0","","CameraInWater","","","1","0"
"StereoDropCam","","2","","CameraOnDeck","","","4","0"
"StereoDropCam","","-2","","EQ","","","2","0"
"StereoDropCam","","","","Haulback","","","3","0"
"AWT","","","","","","PocketNet_AWT_5","",""
"Marinovich","","","Tomweights","","","P-Net P1","0","0"
"Marinovich","","","","","","P-Net B5","0","0"
"Marinovich","","","","","","P-Net S1","0","0"
"Marinovich","","","","","","P-Net T1","0","0"
"AWT","","","","","","PocketNet_AWT_6","",""
"AWT","","","","","","PocketNet_AWT_7","",""
"AWT","","","","","","PocketNet_AWT_8","",""
"AWT","","1","","","","PocketNet_AWT_3","6","0"
"AWT","11","2.1","","","","PocketNet_AWT_2","5","0"
"AWT","8","0","Liner","DoorsIn","","PocketNet_AWT_1","4","0"
"AWT","","","","","","PocketNet_Virtual","",""
"AWT","2","5","Netsounder","EQ","Toss","Codend","2","0"
"AWT","1","7","Doors","DoorsOut","Measure","MainTrawl","1","0"
"AWT","7","6","Tomweights","Haulback","Count","TrawlDeck","3","0"
"LFS1421","","","","","","","",""
"LFS1421","","","","","","","",""
"LFS1421","","","","","","","",""
"LFS1421","","","","NetInWater","","","3",""
"LFS1421","","","","","","","",""
"LFS1421","","","","NetOnDeck","","","8",""
"LFS1421","","","","","","","",""
"LFS1421","","","","","","","",""
"83/112","","","","NetInWater","","","3",""
"83/112","","","","NetOnDeck","","","8",""
"PNE","","","","NetInWater","","","3",""
"PNE","","","","NetOnDeck","","","8",""
"Methot","","","","NetOnDeck","","","7",""
"Merik","1","7","Doors","DoorsOut","Measure","MainTrawl","1","0"
"Merik","2","5","Netsounder","EQ","Toss","Codend","2","0"
"Merik","7","6","Tomweights","Haulback","Count","PocketNet","3","0"
"Merik","8","0","Liner","DoorsIn","","","4","0"
"Merik","11","2.1","","","","","5","0"
"Merik","","1","","","","","6","0"
