"partition","partition_type","description"
"Codend","Catch","Primary catch receptacle for survey trawls"
"Codend_1","Catch","First codend in MOCC"
"Codend_2","Catch","Second bag on the MOCC"
"Codend_3","Catch","Three bag on the MOCC"
"MainTrawl","NonCatch","Non-catch component of the trawl"
"PocketNet","Catch","single index pocket net attached to the outside of the trawl"
"TrawlDeck","Catch","Fish that passed through the intermed net on to the trawl deck"
"PocketNet_AP","Catch","Section A Port panel pocket net"
"PocketNet_AS","Catch","Section A Stbd panel pocket net"
"PocketNet_AB","Catch","Section A bottom panel pocket net"
"PocketNet_BB","Catch","Section B Bottom panel pocket net"
"PocketNet_BP","Catch","Section B Port panel pocket net"
"PocketNet_BS","Catch","Section B Stbd panel pocket net"
"PocketNet_CB","Catch","Section C Bottom panel pocket net"
"PocketNet_CP","Catch","Section C Port panel pocket net"
"PocketNet_CS","Catch","Section C Stbd panel pocket net"
"P-Net B1","Catch","1st bottom pocket net"
"P-Net B2","Catch","2nd bottom pocket net"
"P-Net B3","Catch","3rd bottom pocket net"
"P-Net B4","Catch","4th  bottom pocket net"
"P-Net B5","Catch","5th  bottom pocket net"
"P-Net P1","Catch","1st Port side pocket net"
"P-Net S1","Catch","1st Starboard side pocket net"
"P-Net T1","Catch","1st top pocket net"
"PocketNet_AF_B","Catch","Aft Bottom panel pocket net"
"PocketNet_AF_P","Catch","Aft Port panel pocket net"
"PocketNet_AF_S","Catch","Aft Stbd panel pocket net"
"PocketNet_AF_T","Catch","Aft Top panel pocket net"
"PocketNet_BT","Catch","Section B Top panel pocket net"
"PocketNet_CT","Catch","Section C Top panel pocket net"
"PocketNet_FW_B","Catch","Forward bottom panel pocket net"
"PocketNet_FW_P","Catch","Forward Port panel pocket net"
"PocketNet_FW_S","Catch","Forward Stbd panel pocket net"
"PocketNet_MD_B","Catch","Mid Bottom panel pocket net"
"PocketNet_MD_P","Catch","Mid Port panel pocket net"
"PocketNet_MD_S","Catch","Mid Stbd panel pocket net"
"PocketNet_MD_T","Catch","Mid Top panel pocket net"
"PocketNet_AWT_10","Catch","pocketnet on AWT, location: Forward, Bottom"
"PocketNet_0","Catch","fixed pocket net on cantrawl for chukchi sea Bottom 10 panel"
"PocketNet_1","Catch","fixed pocket net on modified marinovich Port,Forward"
"PocketNet_2","Catch","fixed pocket net on modified marinovich Port, Aft"
"PocketNet_3","Catch","fixed pocket net on modified marinovich Bottom, Forward"
"PocketNet_4","Catch","fixed pocket net on modified marinovich Bottom, Aft"
"PocketNet_5","Catch","fixed pocket net on modified marinovich Starboard, Forward"
"PocketNet_6","Catch","fixed pocket net on modified marinovich Starboard, Aft"
"PocketNet_7","Catch","fixed pocket net on modified marinovich Top, Forward"
"PocketNet_8","Catch","fixed pocket net on modified marinovich Top, Aft"
"PocketNet_9","Catch","chukchi aft net"
"PocketNet_10","Catch","AWT fixed pocket net Starboard, Forward"
"PocketNet_11","Catch","AWT fixed pocket net"
"PocketNet_AWT_1","Catch","pocketnet on AWT, location: Aft, Starboard. Winter 2020 location: Aft, Top "
"PocketNet_AWT_2","Catch","pocketnet on AWT, location: Aft, Top. Winter 2020 location: Aft, Port"
"PocketNet_AWT_3","Catch","pocketnet on AWT, location: Aft, Port.  Winter 2020 location: Aft, Bottom"
"PocketNet_AWT_4","Catch","pocketnet on AWT, location: Aft, Bottom. Winter 2020 location: Aft, Starboard"
"PocketNet_AWT_5","Catch","pocketnet on AWT, location: Mid, Bottom. Winter 2020 location: Mid, Starboard"
"PocketNet_AWT_6","Catch","pocketnet on AWT, location: Mid, Top. Winter 2020 location Mid, Top"
"PocketNet_AWT_7","Catch","pocketnet on AWT, location: Mid, Port. Winter 2020 location: Mid, Bottom"
"PocketNet_AWT_8","Catch","pocketnet on AWT, location: Mid, Starboard. Winter 2020 location: Mid, Port"
"PocketNet_LFS_1","Catch","pocketnet on LFS1421, location: Aft, Bottom "
"PocketNet_LFS_10","Catch","pocketnet on LFS1421, location: Forward, Bottom"
"PocketNet_LFS_2","Catch","pocketnet on LFS1421, location: Aft, Port"
"PocketNet_LFS_3","Catch","pocketnet on LFS1421, location: Aft, Top"
"PocketNet_LFS_4","Catch","pocketnet on LFS1421, location: Mid 2(aft-most mid section, 4"" mesh), Bottom"
"PocketNet_LFS_5","Catch","pocketnet on LFS1421, location: Mid 2(aft-most mid section, 4"" mesh), Port"
"PocketNet_LFS_6","Catch","pocketnet on LFS1421, location: Mid 2(aft-most mid section, 4"" mesh), Top"
"PocketNet_LFS_7","Catch","pocketnet on LFS1421, location: Mid 1(forward-most mid section, 32"" mesh), Port"
"PocketNet_LFS_8","Catch","pocketnet on LFS1421, location: Mid 1(forward-most mid section, 32"" mesh), Bottom "
"PocketNet_LFS_9","Catch","pocketnet on LFS1421, location: Mid 1(forward-most mid section, 32"" mesh), Top"
"PocketNet_Virtual","Catch","Virtual pocketnet partition used to subsample for lengths during pocketnet processing"
"CamTrawl2","NonCatch","This is a second ""virtual"" partition for data coming from the camtrawl images in order to produce separate ""hauls"" from CamTrawl"
"CamTrawl3","NonCatch","This is a third ""virtual"" partition for data coming from the camtrawl images in order to produce separate ""hauls"" from CamTrawl"
"CamTrawl1","NonCatch","This is a ""virtual"" partition to designate data coming from the camtrawl images"
