"workstation_id","measurement_type","device_id","device_interface","gui_module"
"1","basket_weight","21","Serial","Catch"
"15","BottomDepth","107","SCS","TrawlEvent"
"15","HeadRopeHeight","0","Software","TrawlEvent"
"15","Heading","103","SCS","TrawlEvent"
"2","sex","1","Software","Length"
"15","Latitude","100","SCS","TrawlEvent"
"15","Longitude","101","SCS","TrawlEvent"
"3","length","23","Serial","Length"
"15","NetHorizontalOpening","0","Software","TrawlEvent"
"15","NetVerticalOpening","0","Software","TrawlEvent"
"15","SOG","102","SCS","TrawlEvent"
"15","SurfaceTemp","106","SCS","TrawlEvent"
"15","TrawlWireOut","0","Software","TrawlEvent"
"15","WindDirection","105","SCS","TrawlEvent"
"3","sex","1","Software","Length"
"15","WindSpeed","104","SCS","TrawlEvent"
"15","barcode","22","Serial","Specimen"
"15","basket_weight","21","Serial","Catch"
"15","fork_length","25","Serial","Specimen"
"4","organism_weight","20","Serial","Specimen"
"4","sex","1","Software","Specimen"
"4","maturity","3","Software","Specimen"
"4","gonad_weight","20","Serial","Specimen"
"15","gonad_weight","20","Serial","Specimen"
"15","length","25","Serial","Length"
"4","sex","1","Software","Length"
"4","barcode","22","Serial","Specimen"
"4","fork_length","25","Serial","Specimen"
"4","standard_length","25","Serial","Specimen"
"4","total_length","25","Serial","Specimen"
"4","stomach_taken","5","Software","Specimen"
"4","spawning_condition","6","Software","Specimen"
"4","Latitude","100","SCS","TrawlEvent"
"4","Longitude","101","SCS","TrawlEvent"
"4","SOG","102","SCS","TrawlEvent"
"4","Heading","103","SCS","TrawlEvent"
"4","WindSpeed","104","SCS","TrawlEvent"
"4","WindDirection","105","SCS","TrawlEvent"
"4","SurfaceTemp","106","SCS","TrawlEvent"
"4","BottomDepth","107","SCS","TrawlEvent"
"4","NetVerticalOpening","0","Software","TrawlEvent"
"4","NetHorizontalOpening","0","Software","TrawlEvent"
"4","HeadRopeHeight","0","Software","TrawlEvent"
"4","TrawlWireOut","0","Software","TrawlEvent"
"5","length","25","Serial","Specimen"
"5","organism_weight","20","Serial","Specimen"
"5","sex","1","Software","Specimen"
"5","maturity","3","Software","Specimen"
"5","gonad_weight","20","Serial","Specimen"
"5","basket_weight","21","Serial","Catch"
"5","length","25","Serial","Length"
"5","sex","1","Software","Length"
"5","barcode","22","Serial","Specimen"
"5","fork_length","25","Serial","Specimen"
"5","standard_length","25","Serial","Specimen"
"5","total_length","25","Serial","Specimen"
"5","stomach_taken","5","Software","Specimen"
"5","spawning_condition","6","Software","Specimen"
"5","Latitude","100","SCS","TrawlEvent"
"5","Longitude","101","SCS","TrawlEvent"
"5","SOG","102","SCS","TrawlEvent"
"5","Heading","103","SCS","TrawlEvent"
"5","WindSpeed","104","SCS","TrawlEvent"
"5","WindDirection","105","SCS","TrawlEvent"
"5","SurfaceTemp","106","SCS","TrawlEvent"
"5","BottomDepth","107","SCS","TrawlEvent"
"5","NetVerticalOpening","0","Software","TrawlEvent"
"5","NetHorizontalOpening","0","Software","TrawlEvent"
"5","HeadRopeHeight","0","Software","TrawlEvent"
"5","TrawlWireOut","0","Software","TrawlEvent"
"6","Latitude","100","SCS","TrawlEvent"
"6","Longitude","101","SCS","TrawlEvent"
"6","SOG","102","SCS","TrawlEvent"
"6","Heading","103","SCS","TrawlEvent"
"6","WindSpeed","104","SCS","TrawlEvent"
"6","WindDirection","105","SCS","TrawlEvent"
"6","SurfaceTemp","106","SCS","TrawlEvent"
"6","BottomDepth","107","SCS","TrawlEvent"
"6","NetVerticalOpening","0","Software","TrawlEvent"
"6","NetHorizontalOpening","0","Software","TrawlEvent"
"6","HeadRopeHeight","0","Software","TrawlEvent"
"6","TrawlWireOut","0","Software","TrawlEvent"
"10","fork_length","25","Serial","Specimen"
"10","standard_length","25","Serial","Specimen"
"10","total_length","25","Serial","Specimen"
"10","stomach_taken","5","Software","Specimen"
"10","length","25","Serial","Specimen"
"10","organism_weight","20","Serial","Specimen"
"10","sex","1","Software","Specimen"
"10","maturity","3","Software","Specimen"
"10","gonad_weight","20","Serial","Specimen"
"10","basket_weight","21","Serial","Catch"
"10","length","25","Serial","Length"
"10","sex","1","Software","Length"
"10","barcode","22","Serial","Specimen"
"10","spawning_condition","6","Software","Specimen"
"10","Latitude","100","SCS","TrawlEvent"
"10","Longitude","101","SCS","TrawlEvent"
"10","SOG","102","SCS","TrawlEvent"
"10","Heading","103","SCS","TrawlEvent"
"10","WindSpeed","104","SCS","TrawlEvent"
"10","WindDirection","105","SCS","TrawlEvent"
"10","SurfaceTemp","106","SCS","TrawlEvent"
"10","BottomDepth","107","SCS","TrawlEvent"
"10","NetVerticalOpening","0","Software","TrawlEvent"
"10","NetHorizontalOpening","0","Software","TrawlEvent"
