"common_name","scientific_name","display_order","active"
"Bearded Seal","","","1"
"Beluga Whale","","","1"
"Blue Whale","","","1"
"Bowhead Whale","","","1"
"California Sea Lion","","","1"
"Fin Whale","","1","1"
"Gray Whale","","4","1"
"Harbor Porpoise","","","1"
"Harbor Seal","","","1"
"Humpback Whale","","2","1"
"Killer Whale","","3","1"
"Minke Whale","","","1"
"Northern Elephant Seal","","","1"
"Northern Fur Seal","","","1"
"Northern Right Whale","","","1"
"Other","","12","1"
"Pacific Walrus","","","1"
"Pacific White-sided Dolphin","","","1"
"Pinniped Unid","","9","1"
"Polar Bear","","","1"
"Ribbon Seal","","","1"
"Ringed Seal","","","1"
"Sea Otter","","","1"
"Sea lion Unid","","10","1"
"Seal Unid","","11","1"
"Sei Whale","","","1"
"Short-Tailed Albatross","","8","1"
"Spectacled Eider","","","1"
"Sperm Whale","","","1"
"Spotted Seal","","","1"
"Steller Sea Lion","","5","1"
"Whale Unid","","7","1"
"Bairds Beaked Whale","","","1"
"Cuviers Beaked Whale","","","1"
"Dalls Porpoise","","6","1"
"Stejnegers Beaked Whale","","","1"
"Stellers Eider","","","1"
