"protocol_name","measurement_type","measurement_order","force_measurement","force_order","label"
"LW_Sex","length","1","1","1","Length"
"LW_Sex","organism_weight","2","1","1","Weight"
"LW_Sex","sex","3","1","1","Sex"
"GOA_Summer_Pollock_Stomach","length","1","1","1","Length"
"GOA_Summer_Pollock_Stomach","organism_weight","2","1","1","Weight"
"GOA_Summer_Pollock_Stomach","sex","3","1","1","Sex"
"GOA_Summer_Pollock_Stomach","maturity","4","1","1","Maturity"
"GOA_Summer_Pollock_Stomach","barcode","7","0","0","Otoliths"
"GOA_Summer_Pollock_Stomach","stomach_taken","5","1","1","Stomach"
"GOA_Summer_Pollock_Otolith","length","1","1","1","Length"
"GOA_Summer_Pollock_Otolith","organism_weight","2","1","1","Weight"
"GOA_Summer_Pollock_Otolith","sex","3","1","1","Sex"
"GOA_Summer_Pollock_Otolith","maturity","4","1","1","Maturity"
"GOA_Summer_Pollock_Otolith","barcode","6","1","0","Otoliths"
"Non-Pollock_stomach","length","1","1","1","Length"
"Non-Pollock_stomach","organism_weight","2","1","1","Weight"
"Non-Pollock_stomach","spawning_condition","4","1","1","Spawning"
"Non-Pollock_stomach","stomach_taken","5","1","1","Stomach"
"Forage_Fish_Length","standard_length","1","1","1","SL"
"Forage_Fish_Length","fork_length","2","1","1","FL"
"Forage_Fish_Length","total_length","3","1","1","TL"
"Forage_Fish_Length","organism_weight","4","1","1","Weight"
"Length_Weight","length","1","1","1","Length"
"Length_Weight","organism_weight","2","1","1","Weight"
"GOA_Summer_Pollock_Otolith","gonad_weight","5","0","1","Gonad Weight"
"Non-Pollock_stomach","sex","3","1","1","Sex"
"GOA_Summer_Pollock_Stomach","gonad_weight","6","0","0","Gonad Weight"
"GOA_Summer_Pollock_Length_Weight","length","1","1","1","Length"
"GOA_Summer_Pollock_Length_Weight","organism_weight","2","1","1","Weight"
"GOA_Summer_Pollock_Length_Weight","sex","3","1","1","Sex"
"GOA_Summer_Pollock_Length_Weight","maturity","4","1","1","Maturity"
"GOA_Summer_Pollock_Length_Weight","gonad_weight","5","0","1","Gonad Weight"
"Finclip","length","1","1","1","Length"
"Finclip","sex","2","1","1","Sex"
"Finclip","maturity","3","1","1","Maturity"
"Winter_pol_LW_GSI_Otolith","length","1","1","1","Length"
"Winter_pol_LW_GSI_Otolith","organism_weight","2","1","1","Weight"
"Winter_pol_LW_GSI_Otolith","sex","3","1","1","Sex"
"Winter_pol_LW_GSI_Otolith","maturity","4","1","1","Maturity"
"Winter_pol_LW_GSI_Otolith","gonad_weight","6","0","1","Ovary Wt"
"Winter_pol_LW_GSI_Otolith","liver_weight","7","0","1","Liver Wt"
"Winter_pol_LW_GSI_Otolith","barcode","8","1","0","Otolith"
"Winter_pol_LW_GSI","length","1","1","1","Length"
"Winter_pol_LW_GSI","organism_weight","2","1","1","Weight"
"Winter_pol_LW_GSI","sex","3","1","1","Sex"
"Winter_pol_LW_GSI","maturity","4","1","1","Maturity"
"Winter_pol_LW_GSI","gonad_weight","5","0","1","Ovary Wt"
"Winter_pol_LW_GSI","liver_weight","6","0","1","Liver Wt"
"Winter_pol_LW_GSI_Otolith","ovary_taken","5","1","1","Ovary?"
"Conrath_2012","length","1","1","1","Length"
"Conrath_2012","organism_weight","2","1","1","Weight"
"Conrath_2012","sex","3","1","1","Sex"
"Conrath_2012","ovary_taken","4","1","1","Ovary?"
"Conrath_2012","barcode","5","0","0","Otolith"
"Age_0_pollock_length","standard_length","1","1","1","SL"
"Age_0_pollock_length","fork_length","2","1","1","FL"
"Age_0_pollock_length","total_length","3","1","1","TL"
"Age_0_pollock_length","organism_weight","4","1","1","Weight"
"Mooring_Recovery_2015","length","1","1","1","Length"
"Mooring_Recovery_2015","sex","2","1","1","Sex"
"Mooring_Recovery_2015","maturity","3","1","1","Maturity"
"POP_Finclip","length","1","1","1","Length"
"POP_Finclip","organism_weight","2","1","1","Weight"
"POP_Finclip","finclip_vial_num","3","1","0","Finclip"
"Herring_stomach","length","1","1","1","Length"
"Herring_stomach","organism_weight","2","1","1","Weight"
"Herring_stomach","stomach_taken","3","1","1","Stomach?"
"Conrath2016","stomach_taken","7","1","1","Stomach?"
"Conrath2016","length","1","1","1","Stomach?"
"Conrath2016","organism_weight","2","1","1","Stomach?"
"Conrath2016","sex","3","1","1","Stomach?"
"Conrath2016","ovary_taken","6","1","1","Stomach?"
"Conrath2016","tissue_sample_taken","4","1","1","Stomach?"
"Conrath2016","otolith_taken","5","1","1","Stomach?"
"Salmon_genetics","length","1","1","1","Length"
"Salmon_genetics","organism_weight","2","1","1","Weight"
"Salmon_genetics","fin_missing","3","1","1","Fin missing?"
"Winter_Pollock_Stomach","ovary_taken","6","1","1","Ovary?"
"Winter_Pollock_Stomach","length","1","1","1","Length"
"Winter_Pollock_Stomach","organism_weight","2","1","1","Weight"
"Winter_Pollock_Stomach","sex","3","1","1","Sex"
"Winter_Pollock_Stomach","maturity","4","1","1","Maturity"
"Winter_Pollock_Stomach","barcode","8","1","0","Otoliths"
"Winter_Pollock_Stomach","stomach_taken","5","1","1","Stomach?"
"Winter_Pollock_Stomach","gonad_weight","7","0","0","Gnd Wt"
