"ship","name","description","active"
"21","Miller Freeman","NOAA Ship Miller Freeman.","0"
"157","Oscar Dyson","NOAA Ship Oscar Dyson.","1"
"999","SS Fake Ship","An imaginary survey vessel for testing.","1"
"174","Bristol Explorer","Bristol Explorer","0"
"801","F/V Mar del Norte","Charter vessel used in Mooring Recovery Survey","0"
"850","SAILDRONE 126","Saildrone autonomous vehicle serial no 126","0"
"851","SAILDRONE 138","Saildrone autonomous vehicle serial no 128","0"
"180","Bell M. Shimada","NOAA Ship Bell M. Shimada","1"
"853","SAILDRONE 1041","Saildrone autonomous vehicle serial no 1041","0"
"175","Ocean Starr","RV Ocean Starr","0"
"852","SAILDRONE 1001","Saildrone autonomous vehicle serial no 1001","0"
"1046","SAILDRONE 1046","Saildrone autonomous vehicle serial no 1046","0"
"1049","SAILDRONE 1049","Saildrone autonomous vehicle serial no 1049","0"
"1043","SAILDRONE 1043","Saildrone autonomous vehicle serial no 1043","0"
"881","WBAT NOAA1","WBAT serial no NOAA1","0"
"882","WBAT NOAA2","WBAT serial no NOAA2","0"
"883","WBAT NOAA3","WBAT seiral no NOAA3","0"
"162","F/V Alaska Knight","Charter vessel used in RACE groundfish survey","0"
"94","F/V Vesteraalen","Charter vessel used in RACE groundfish survey","0"
