"species_code","parent_taxon","scientific_name","common_name"
"24166","3","Lycodapus psarostomatus","specklemouth eelpout"
"24170","3","Lycodapus mandibularis","pallid eelpout"
"24180","3","Lycodes sp.","Lycodes sp."
"24181","3","Lycodes rossi","threespot eelpout"
"24182","3","Lycodes soldatovi","dipline eelpout"
"24184","3","Lycodes raridens","marbled eelpout"
"24185","3","Lycodes palearis","wattled eelpout"
"24186","3","Lycodes mucosus","saddled eelpout"
"24187","3","Lycodes concolor","ebony eelpout"
"24188","3","Lycodes polaris","Canadian eelpout"
"24189","3","Lycodes turneri","polar eelpout"
"24190","3","Lycodes diapterus","black eelpout"
"24191","3","Lycodes brevipes","shortfin eelpout"
"24192","3","Gymnelus viridis","fish doctor"
"24193","3","Gymnelus sp.","Gymnelus sp."
"24194","3","Gymnelus hemifasciatus","halfbarred eelpout"
"24200","3","Lycodes pacificus","blackbelly eelpout"
"24220","3","Bothrocara sp.","Bothrocara sp."
"24230","3","Lycodapus sp.","Lycodapus sp."
"24231","3","Lycodapus poecilus","variform eelpout"
"24232","3","Lycodapus parviceps","smallhead eelpout"
"24233","3","Lycodapus grossidens","bigtooth eelpout"
"24240","3","Lycodema barbatum","bearded eelpout"
"24393","3","Melanostigma pammelas","midwater eelpout"
"24394","3","Puzanovia rubra","coral eelpout"
"24395","3","Nalbantichthys elongatus","thinskin eelpout"
"24404","3","Gibbonsia metzi","striped kelpfish"
"25100","3","Acipenseridae (family)","sturgeons"
"25120","3","Acipenser medirostris","green sturgeon"
"26050","3","Stomiidae (family)","loosejaws"
"26053","3","Aristostomias scintillans","shining loosejaw"
"26060","3","Neonesthes capensis","Neonesthes capensis"
"27020","3","Lampris guttatus","opah"
"27028","3","Stylephorus chordatus","tube-eye"
"27050","3","Synodontidae (family)","lizardfishes"
"27051","3","Synodus lucioceps","California lizardfish"
"28532","3","Howella sherborni","Sherborn's cardinalfish"
"29990","3","Eurypharynx pelecanoides","umbrellamouth gulper"
"29996","3","Saccopharynx sp.","Saccopharynx sp."
"29999","3","Actinopterygii (class)","roundfishes"
"30000","3","Scorpaenidae (family)","scorpionfishes and rockfishes"
"30010","3","Sebastolobus (genus)","thornyhead spp."
"30020","3","Sebastolobus alascanus","shortspine thornyhead"
"30025","3","Sebastolobus macrochir","broadfin thornyhead"
"30030","3","Sebastolobus altivelis","longspine thornyhead"
"30035","3","Adelosebastes latens","Aleutian scorpionfish"
"30040","3","Sebastes (genus)","rockfish spp."
"30050","3","Sebastes (genus)","rougheye and blackspotted rockfish spp."
"30051","3","Sebastes aleutianus","rougheye rockfish"
"30052","3","Sebastes melanostictus","blackspotted rockfish"
"30060","3","Sebastes alutus","POP"
"30080","3","Sebastes auriculatus","brown rockfish"
"30090","3","Sebastes aurora","aurora rockfish"
"30100","3","Sebastes brevispinis","silvergray rockfish"
"30110","3","Sebastes carnatus","gopher rockfish"
"30120","3","Sebastes caurinus","copper rockfish"
"30130","3","Sebastes chlorostictus","greenspotted rockfish"
"30150","3","Sebastes (genus)","dusky and dark rockfish spp."
"30151","3","Sebastes ciliatus","dark rockfish"
"30152","3","Sebastes variabilis","dusky rockfish"
"30160","3","Sebastes constellatus","starry rockfish"
"30170","3","Sebastes crameri","darkblotched rockfish"
"30180","3","Sebastes dalli","calico rockfish"
"30190","3","Sebastes diploproa","splitnose rockfish"
"30200","3","Sebastes elongatus","greenstriped rockfish"
"30210","3","Sebastes emphaeus","Puget Sound rockfish"
"30220","3","Sebastes entomelas","widow rockfish"
"30230","3","Sebastes eos","pink rockfish"
"30240","3","Sebastes flavidus","yellowtail rockfish"
"30250","3","Sebastes gilli","bronzespotted rockfish"
"30260","3","Sebastes goodei","chilipepper"
"30270","3","Sebastes helvomaculatus","rosethorn rockfish"
"30280","3","Sebastes hopkinsi","squarespot rockfish"
"30290","3","Sebastes jordani","shortbelly rockfish"
"30295","3","Sebastes lentiginosus","freckled rockfish"
"30300","3","Sebastes levis","cowcod"
"30320","3","Sebastes maliger","quillback rockfish"
"30330","3","Sebastes melanops","black rockfish"
"30340","3","Sebastes melanostomus","blackgill rockfish"
"30350","3","Sebastes miniatus","vermilion rockfish"
"30360","3","Sebastes mystinus","blue rockfish"
"30370","3","Sebastes nebulosus","China rockfish"
"30380","3","Sebastes nigrocinctus","tiger rockfish"
"30390","3","Sebastes ovalis","speckled rockfish"
"30400","3","Sebastes paucispinis","bocaccio"
