"species_code","subcategory"
"21740","Adult"
"23010","Adult"
"23041","Adult"
"21740","Age 0"
"21740","Age 1"
"21740","Age 2"
"21740","Age 3"
"23010","Juvenile"
"23041","Juvenile"
"1","None"
"2","None"
"3","None"
"10","None"
"21","None"
"22","None"
"100","None"
"109","None"
"110","None"
"120","None"
"150","None"
"151","None"
"160","None"
"180","None"
"200","None"
"201","None"
"210","None"
"211","None"
"212","None"
"213","None"
"214","None"
"222","None"
"232","None"
"242","None"
"252","None"
"310","None"
"320","None"
"332","None"
"339","None"
"340","None"
"341","None"
"351","None"
"355","None"
"400","None"
"401","None"
"402","None"
"403","None"
"404","None"
"405","None"
"406","None"
"410","None"
"420","None"
"421","None"
"425","None"
"435","None"
"436","None"
"440","None"
"445","None"
"450","None"
"455","None"
"460","None"
"461","None"
"471","None"
"472","None"
"475","None"
"480","None"
"485","None"
"490","None"
"495","None"
"610","None"
"710","None"
"711","None"
"1001","None"
"1002","None"
"1003","None"
"1004","None"
"1005","None"
"1006","None"
"1007","None"
"1008","None"
"1009","None"
"1010","None"
"1011","None"
"1012","None"
"1013","None"
"1014","None"
"1015","None"
"1016","None"
"1017","None"
"1018","None"
"1019","None"
"1020","None"
"1021","None"
"1022","None"
"1023","None"
"1024","None"
"1025","None"
"1026","None"
"1027","None"
"1028","None"
"1029","None"
"1030","None"
"1031","None"
"1032","None"
"1033","None"
"1034","None"
"1035","None"
"1036","None"
"1037","None"
"1038","None"
"1039","None"
"1040","None"
"1041","None"
"1042","None"
"1043","None"
"1044","None"
"1045","None"
"1046","None"
"1047","None"
"1048","None"
"1049","None"
"1050","None"
"1101","None"
"1102","None"
"1103","None"
"1104","None"
"1105","None"
"1106","None"
"1107","None"
"1108","None"
"1109","None"
"1110","None"
"1111","None"
"1112","None"
"1113","None"
"1114","None"
"1115","None"
"1116","None"
"1117","None"
"1118","None"
"1119","None"
"1120","None"
"1121","None"
"1122","None"
"1123","None"
"1124","None"
"1125","None"
"1126","None"
"1127","None"
"1128","None"
"1129","None"
"1130","None"
"1131","None"
"1132","None"
"1134","None"
"1135","None"
"1136","None"
"1137","None"
"1138","None"
"1139","None"
"1140","None"
"1141","None"
"1142","None"
"1143","None"
"1144","None"
"1145","None"
"1146","None"
"1147","None"
"1148","None"
"1149","None"
"1150","None"
"1151","None"
"1152","None"
"1153","None"
"1154","None"
"10000","None"
"10001","None"
"10002","None"
"10003","None"
"10008","None"
"10009","None"
"10010","None"
"10020","None"
"10041","None"
"10050","None"
"10060","None"
"10100","None"
"10110","None"
"10111","None"
"10112","None"
"10115","None"
"10120","None"
"10122","None"
"10129","None"
"10130","None"
"10140","None"
"10145","None"
"10150","None"
"10155","None"
"10160","None"
"10170","None"
"10180","None"
"10190","None"
"10200","None"
"10201","None"
"10210","None"
"10211","None"
"10212","None"
"10220","None"
"10221","None"
"10240","None"
"10250","None"
"10260","None"
"10261","None"
"10262","None"
"10270","None"
"10280","None"
"10281","None"
"10285","None"
"10290","None"
"10291","None"
"10295","None"
"10400","None"
"20000","None"
"20001","None"
"20002","None"
"20004","None"
"20005","None"
"20006","None"
"20015","None"
"20018","None"
"20020","None"
"20021","None"
"20022","None"
"20023","None"
"20034","None"
"20035","None"
"20036","None"
"20037","None"
"20038","None"
"20039","None"
"20040","None"
"20041","None"
"20050","None"
"20051","None"
"20055","None"
"20060","None"
"20061","None"
"20071","None"
"20075","None"
"20100","None"
"20110","None"
"20120","None"
"20121","None"
"20122","None"
"20150","None"
"20179","None"
"20180","None"
"20202","None"
"20203","None"
"20204","None"
"20320","None"
"20322","None"
"20420","None"
"20510","None"
"20542","None"
"20571","None"
"20572","None"
"20573","None"
"20575","None"
"20610","None"
"20614","None"
"20615","None"
"20619","None"
"20620","None"
"20622","None"
"20624","None"
"20660","None"
"20662","None"
"20700","None"
"20702","None"
"20712","None"
"20713","None"
"20720","None"
"20722","None"
"20731","None"
"20801","None"
