"protocol_name","description"
"GOA_Summer_Pollock_Stomach","Length, Organism_Weight, Sex, Maturity, Gonad weight for pre-spawning females, Otolith, and Stomach_Taken measurements taken."
"GOA_Summer_Pollock_Otolith","Standard workup for specimens"
"Non-Pollock_stomach","sex, length, spawning cond, and stomach collected for species other than pollock"
"Forage_Fish_Length","Length comparison for forage fishes"
"Winter_Pollock","Protocol for Shelikof, Bogoslof and Shumagin I pollock spawning surveys. Length, Organism_Weight, Sex, Maturity, Gonad_Weight, Otolith measurements collected."
"Length_Weight","Length-weight protocol for basic species workup"
"LW_sex_maturity","Expanded length weight with sex and maturity. Length, Organism_Weight, Sex, Maturity measurements collected."
"Conrath2010","Christina Conrath Rockfish ovaries. Length, Organism_Weight, Sex, Ovary_Taken."
"Heintz2010","Ron Heintz whole fish samples of age 0 and 1 pollock, cod, and arrowtooth. Length and Organism_Weight measurements collected."
"Summer_Pollock","Length, Organism_Weight, Sex, Maturity, and Otolith measurements taken."
"LW_Sex","Length, Organism_Weight, and Sex measurements taken."
"Summer_Pollock_Stomach","Length, Organism_Weight, Sex, Maturity, Otolith, and Stomach_Taken measurements taken."
"Stomach","Simple stomach protocol. Length, Sex, and Stomach_Taken measurements taken."
"Unknown","Samples collected prior to the 2011 field season when the protocol that the sample was collected under was not recorded."
"Length_Sex","Protocol for length samples. Length and Sex measurements only."
"GOA_Summer_Pollock_Length_Weight","Length, Weight, and sex for summer pollock"
"Finclip","Special sampling for genetic infromation M.Canino"
"Winter_pol_LW_GSI","Protocol for Shelikof, Bogoslof and Shumagin I pollock spawning surveys. Length, Organism_Weight, Sex, Maturity, Gonad_Weight, Otolith measurements collected."
"Winter_pol_LW_GSI_Otolith","Protocol for Shelikof, Bogoslof and Shumagin I pollock spawning surveys. Length, Organism_Weight, Sex, Maturity, Gonad_Weight, Otolith measurements collected."
"Conrath_2012","Rockfish overy collections for Christina Conrath (Kodaik Lab) 907-481-1732"
"Age_0_pollock_length","Length comparison for Age 0 pollock"
"Mooring_Recovery_2015","Length, Sex, and Maturity for tows during charter recovery of moorings"
"Length_Only","Length only as in stereo- image derived lengths"
"Winter_GOA_otolith_with_finclips","Standard winter protocol including otoliths with added vial number for genetic sampling"
"Winter_GOA_standard_with_finclips","Standard winter protocol with added vial number for genetic sampling"
"Gillclip","Special sampling for Einar Arnason Gill clip study"
"Winter_2020_pol_LW_GSI_Otolith","Protocol for Shelikof, Bogoslof and Shumagin I pollock spawning surveys. Length, Organism_Weight, Sex, Maturity, Gonad_Weight, Otolith measurements collected, options for finclips and gill samples"
"Estimated_krill_lengths_for_scaling","This protocol is a way to identify fake measurements based on average length measurement fro purposes of scaling backscatter"
"POP_Finclip","Pacific Ocean Perch genetics finclip samples (length/weight/finclip number)"
"Herring_stomach","Pacific Herring length/weight/stomach collected"
"Conrath2016","Rockfish special studies protocol"
"Winter_2021_pol_LW_GSI_Oto_no_projects","Protocol for Shelikof 2021 spawning surveys. Length, Organism_Weight, Sex, Maturity, Gonad_Weight, Otolith measurements collected, NO ovaries, etc"
"Salmon_genetics","Protocol for salmon genetics collection"
"Winter_Pollock_Stomach","Length, Organism_Weight, Sex, Maturity, Otolith, and Stomach_Taken measurements taken."
"Rockfish_Length","Length comparison for rockfishes"
"Pollock_LW_GSI_Oto_fin_gill","Length, Organism_Weight, Sex, Maturity, Gonad_Weight, Otolith measurements collected, options for finclips and gill samples"
"Pollock_LW_GSI_fin_gill","Length, Organism_Weight, Sex, Maturity, Gonad_Weight, options for finclips and gill samples"
"Camtrawl_length_only","Length data from camtrawl images"
