"validation","protocol_name","measurement_type","validation_order"
"BarcodeDuplicate","Conrath_2012","barcode","2"
"BarcodeDuplicate","GOA_Summer_Pollock_Otolith","barcode","1"
"BarcodeDuplicate","GOA_Summer_Pollock_Stomach","barcode","1"
"BarcodeDuplicate","Pollock_LW_GSI_Oto_fin_gill","barcode","2"
"BarcodeDuplicate","Winter_2020_pol_LW_GSI_Otolith","barcode","2"
"BarcodeDuplicate","Winter_2021_pol_LW_GSI_Oto_no_projects","barcode","2"
"BarcodeDuplicate","Winter_GOA_otolith_with_finclips","barcode","2"
"BarcodeDuplicate","Winter_GOA_standard_with_finclips","barcode","2"
"BarcodeDuplicate","Winter_Pollock","barcode","1"
"BarcodeDuplicate","Winter_Pollock_Stomach","barcode","1"
"BarcodeDuplicate","Winter_pol_LW_GSI_Otolith","barcode","2"
"BarcodeDuplicate","Mackerels","aplha_barcode","2"
"BarcodeDuplicate","Northern Anchovy","aplha_barcode","2"
"BarcodeDuplicate","Pacific Sardine","aplha_barcode","2"
"BarcodeAlphaNumeric","Mackerels","aplha_barcode","1"
"BarcodeAlphaNumeric","Northern Anchovy","aplha_barcode","1"
"BarcodeAlphaNumeric","Pacific Sardine","aplha_barcode","1"
"BarcodeNumeric","Conrath_2012","barcode","1"
"BarcodeNumeric","GOA_Summer_Pollock_Otolith","barcode","2"
"BarcodeNumeric","GOA_Summer_Pollock_Stomach","barcode","2"
"BarcodeNumeric","Pollock_LW_GSI_Oto_fin_gill","barcode","1"
"BarcodeNumeric","Winter_2020_pol_LW_GSI_Otolith","barcode","1"
"BarcodeNumeric","Winter_2021_pol_LW_GSI_Oto_no_projects","barcode","1"
"BarcodeNumeric","Winter_GOA_otolith_with_finclips","barcode","1"
"BarcodeNumeric","Winter_GOA_standard_with_finclips","barcode","1"
"BarcodeNumeric","Winter_Pollock","barcode","2"
"BarcodeNumeric","Winter_pol_LW_GSI_Otolith","barcode","1"
