"workstation_id","hostname","status","description","active","current_event"
"1","MACE-CLAMS1","closed","Catch Station","1",""
"2","MACE-CLAMS2","closed","Length Station1 (male)","1",""
"3","MACE-CLAMS3","closed","Length Station2 (female)","1",""
"4","MACE-CLAMS4","closed","Specimen Station","1",""
"5","MACE-WS3","closed","Acoustics Lab PC","1",""
"6","MACE-BR-CLAMS","closed","Trawl Event PC on bridge","1",""
"10","MACE-CHEMLAB2","closed","Chemlab PC","1",""
"11","AKCSD1133ART19","closed","Rick Office PC","1",""
"12","AKCSL1133B-ML21","closed","Mike's office PC","1",""
"13","RACES1133BDJON2","closed","Darin's Office PC","1",""
"14","AKCSL2051-LN20","closed","Rick's Laptop","1","58"
"15","AKCSL2051-LN34","closed","Kresimir Office PC","1",""
"20","MACE-FIELDLT5","closed","Testing laptop","1",""
"21","test","closed","Testing Laptop","1",""
"7","MACE-CHEMLAB1","closed","Chemlab CLAMS Administration PC","1",""
"50","CAMTRAWL","closed","camtrawl pc for length collection","1",""
"8","MACE-WS2","closed","Acoustics Lab PC","1",""
"26","NWCLW04787409","open","Melinas office PC","1","59"
"22","AKC1SD1133CRL13","closed","Robert's Office PC","1",""
"23","AKC1SD1133BNL13","closed","Nate's Office PC","1",""
"25","AKCSL1170A-NL22","closed","Nate's laptop","1","0"
"27","NWCLW04787409","closed","Melina's laptop","1",""
