"device_parameter","data_type","description"
"BaudRate","int","The baud rate used to connect to a serial device"
"SerialPort","string","The string representing the serial port, e.g. 'COM4' or '/dev/ttyUSB3'"
"Module","string","software module"
"SoundFile","string","sound to play when maesurement comes in"
"ParseType","string","The parsing method used to parse the incoming data"
"ParseExpression","string","If the ParseType is delimited, this is the delimiter. If the ParseType is RegEx, this is the regex expression."
"ParseIndex","int","If the data is parsed, this is the 0 based index of the bit of data to extract."
"CommandPrompt","string","For SBE devices, this is the text of the device prompt."
"ByteSize","int","connection parameter"
"Parity","string","For serial devices. This is the serial port parity setting."
"StopBits","numeric","For serial devices. This is the stop bits setting."
"FlowControl","string","For serial devices. This is the flow control setting."
"PollRate","int","For serial devices, this is the rate the port is polled."
"NetworkPort","int","For network based devices, this is the local port to listen on"
