"event_parameter","parameter_type","parameter_unit","description","source","scs_parameter_name"
"FlowMeterSerial","integer","none","The flow meter serial number","enter",""
"AvgHeadropeDepth","float","m","Average headrope depth between EQ and haulback","Clams trawl event",""
"Report","integer","none","The survey sub-area this haul was performed in/near","Clams trawl event",""
"TrawlScientist","string","none","Trawl event scientist","Clams trawl event",""
"Stratum","integer","none","Stratum","Clams trawl event",""
"Open","datetime","none","Time net was opened for opening/closing net","Clams trawl event",""
"Close","datetime","none","Time net was closed for opening/closing net","Clams trawl event",""
"EndangeredSeabirdPresent","boolean","none","True if endangered seabirds were observed during the trawl event","Clams trawl event",""
"MarineMammalPresent","boolean","none","True if marine mammals were observed during trawl","Clams trawl event",""
"SBESerialNumber","integer","none","Serial number of SBE19 unit used on this trawl","Clams SBE Dialog",""
"AvgBottomDepth","float","m","AverageDepth","Clams trawl event",""
"AvgTrawlWireOut","float","m","AverageWireOut","Clams trawl event",""
"AvgNetHorizontalOpening","float","m","AverageHorizontalOpening","Clams trawl event",""
"AvgNetVerticalOpening","float","m","AverageVerticalOpening","Clams trawl event",""
"NetInWater","datetime","none","NetInWater","Clams trawl event",""
"DoorsOut","datetime","none","DoorsOut","Clams trawl event",""
"Net1Open","datetime","none","Net1Open","Clams trawl event",""
"Net1Close","datetime","none","Net1Close","Clams trawl event",""
"DoorsIn","datetime","none","DoorsIn","Clams trawl event",""
"NetOnDeck","datetime","none","NetOnDeck","Clams trawl event",""
"AvgGearTemperature","float","c","AverageGearTemperature","Clams trawl event",""
"AvgSurfaceTemperature","float","c","AverageSurfaceTemperature","Clams trawl event",""
"VesselLogStart","float","nmi","VesselLogStart","SCS",""
"VesselLogStop","float","nmi","VesselLogStop","SCS",""
"Net2Open","datetime","none","Net2Open","Clams trawl event",""
"Net2Close","datetime","none","Net2Close","Clams trawl event",""
"Net3Open","datetime","none","Net3Open","Clams trawl event",""
"Net3Close","datetime","none","Net3Close","Clams trawl event",""
"EQ","datetime","none","EQ","Clams trawl event",""
"Haulback","datetime","none","Haulback","Clams trawl event",""
"Transect","integer","none","transect","Clams trawl event",""
"PartitionWeight","float","kg","PartitionWeight","enter",""
"PartitionWeightType","string","none","PartitionWeightType","enter",""
"FlowMeterStart","integer","none","FlowMeterStart","enter",""
"FlowMeterEnd","integer","none","FlowMeterEnd","enter",""
"AvgSBETemperature","float","deg","DEPRECATED - USE LOCATION SPECIFIC PARAMETERS (e.g. AvgSBEHeadRopeTemp)","Clams trawl event",""
"AvgSBEHeadRopeDepth","float","m","Headrope depth averaged from EQ to Haulback","Clams trawl event",""
"CameraInWater","datetime","none","The time the camera was put in the water","Clams trawl event",""
"CameraOnDeck","datetime","none","The time the camera was recovered","Clams trawl event",""
"EQLatitude","float","deg","The latitude of the EQ point","Clams trawl event",""
"EQLongitude","float","deg","The longitude of the EQ point","Clams trawl event",""
"HBLatitude","float","deg","The latitude of the haulback point","Clams trawl event",""
"HBLongitude","float","deg","The longitude of the haulback point","Clams trawl event",""
"NetOutOfWater","datetime","datetime","The time the net came out of the water","Clams trawl event",""
"AvgSBECodendDepth","float","deg","Depth of the codend averaged from EQ to Haulback","Clams trawl event",""
"AvgSBECodendTemp","float","deg","Temperature at the codend averaged from EQ to Haulback","Clams trawl event",""
"AvgSBETrawlDoorDepth","float","deg","Depth of the trawl door averaged from EQ to Haulback","Clams trawl event",""
"AvgSBETrawlDoorTemp","float","deg","Temperature at the trawl door averaged from EQ to Haulback","Clams trawl event",""
"CodendSBE","string","none","The serial number of the SBE39 attached to the net codend","enter",""
"TrawlDoorSBE","string","none","The serial number of the SBE39 mounted on a trawl door","enter",""
"ProtectedSppObsStart","datetime","none","DEPRECATED 2/2024 - The time the protected species observation period started","Clams trawl event",""
"ProtectedSppObsEnd","datetime","none","DEPRECATED 2/2024 - The time the protected species observation period ended","Clams trawl event",""
"ProtectedSppObserver","string","none","DEPRECATED 2/2024 - The scientist who performed the protected species watch prior to an event.","Clams trawl event",""
"CTDInWater","datetime","none","The date and time the CTD entered the water ","Clams trawl event",""
"CTDOnDeck","datetime","none","The date and time the CTD was hauled out of the water ","Clams trawl event",""
"DropTSinWater","datetime","none","The time the DropTS was put in the water","Clams trawl event",""
"DropTSonDeck","datetime","none","The time the DropTS came on deck","Clams trawl event",""
"CamtrawlDeploymentID","string","none","The date time based deployment id for camtrawl data processed using sebastes ","external",""
"CodendStatus","string","none","This parameter shows the status of the codend for a partition","enter",""
"AvgSBEDropTSDepth","float","deg","Depth of the DTS averaged from EQ to Haulback","Clams trawl event",""
"AvgSBEDropTSTemp","float","deg","Temperature at the DTS averaged from EQ to Haulback","Clams trawl event",""
"AvgSBEDropcamDepth","float","deg","Depth of the Dropcam averaged from EQ to Haulback","Clams trawl event",""
"AvgSBEDropcamTemp","float","deg","Temperature at the Dropcam averaged from EQ to Haulback","Clams trawl event",""
"AvgSBEFootRopeDepth","float","m","Footrope depth averaged from EQ to Haulback ","Clams trawl event",""
"AvgSBEFootRopeTemp","float","deg","Temperature at the footrope averaged from EQ to Haulback","Clams trawl event",""
"CamtrawlSBE","string","none","The serial number of the SBE39 mounted to CamTrawl frame","enter",""
"DropTSSBE","string","none","The serial number of the SBE39 mounted to the DropTS system","enter",""
"DropcamSBE","string","none","The serial number of the SBE39 mounted to a lowered camera system","enter",""
"FootropeSBE","string","none","The serial number of the SBE39 mounted to the footrope","enter",""
"HeadropeSBE","string","none","The serial number of the SBE39 mounted to the headrope","enter",""
