"performance_code","description"
"-5.23","Unsatisfactory performance, headrope or footrope tangled"
"0","Good performance"
"1","Satisfactory performance, hung up"
"-1","Unsatisfactory performance, hung up"
"1.1","Satisfactory performance, minor hangs"
"-1.1","Unsatisfactory performance, minor hangs"
"1.11","Satisfactory performance, completed tow"
"-1.11","Unsatisfactory performance, completed tow"
"1.12","Satisfactory performance, hauled back early due to hangs"
"-1.12","Unsatisfactory performance, hauled back early due to hangs"
"1.2","Satisfactory performance, major hang, stopped forward progress of vessel."
"-1.2","Unsatisfactory performance, major hang, stopped forward progress of vessel."
"2","Satisfactory performance, unspecified gear damage"
"-2","Unsatisfactory performance, unspecified gear damage"
"2.1","Satisfactory performance, wing damaged"
"-2.1","Unsatisfactory performance, wing damaged"
"2.2","Satisfactory performance, breastline damaged"
"-2.2","Unsatisfactory performance, breastline damaged"
"2.3000000000000003","Satisfactory performance, footrope damaged"
"-2.3000000000000003","Unsatisfactory performance, footrope damaged"
"2.4","Satisfactory performance, belly damaged"
"-2.4","Unsatisfactory performance, belly damaged"
"2.5","Satisfactory performance, bridle damaged"
"-2.5","Unsatisfactory performance, bridle damaged"
"2.6","Satisfactory performance, main wire damaged"
"-2.6","Unsatisfactory performance, main wire damaged"
"-2.7","Unsatisfactory performance, net completely destroyed"
"-2.8000000000000003","Unsatisfactory performance, net lost"
"3","Satisfactory performance, gear conflict, unspecified"
"-3","Unsatisfactory performance, gear conflict, unspecified"
"3.1","Satisfactory performance, caught pot, unspecified type"
"-3.1","Unsatisfactory performance, caught pot, unspecified type"
"3.11","Satisfactory performance, sablefish pot"
"-3.11","Unsatisfactory performance, sablefish pot"
"3.12","Satisfactory performance, Dungeness crab pot"
"-3.12","Unsatisfactory performance, Dungeness crab pot"
"3.13","Satisfactory performance, Alaskan crab pot"
"-3.13","Unsatisfactory performance, Alaskan crab pot"
"3.2","Satisfactory performance, caught longline gear"
"-3.2","Unsatisfactory performance, caught longline gear"
"3.3000000000000003","Satisfactory performance, caught trawl gear"
"-3.3000000000000003","Unsatisfactory performance, caught trawl gear"
"4","Satisfactory performance, caught unspecified object"
"-4","Unsatisfactory performance, caught unspecified object"
"4.1","Satisfactory performance, caught large rock"
"-4.1","Unsatisfactory performance, caught large rock"
"4.2","Satisfactory performance, caught large quantity of mud"
"-4.2","Unsatisfactory performance, caught large quantity of mud"
"4.3","Satisfactory performance, caught debris or wreckage"
"-4.3","Unsatisfactory performance, caught debris or wreckage"
"4.4","Satisfactory performance, large fish catch affected net performance"
"-4.4","Unsatisfactory performance, large fish catch affected net performance"
"4.5","Satisfactory performance, large invertebrate catch affected net performance"
"-4.5","Unsatisfactory performance, large invertebrate catch affected net performance"
"5","Satisfactory performance, unspecified gear performance problem"
"-5","Unsatisfactory performance, unspecified gear performance problem"
"5.1000000000000005","Satisfactory performance, net came off bottom"
"-5.1000000000000005","Unsatisfactory performance, net came off bottom"
"5.2","Satisfactory performance, net improperly configured, unspecified reason"
"-5.2","Unsatisfactory performance, net improperly configured, unspecified reason"
"5.21","Satisfactory performance, dandylines twisted"
"-5.21","Unsatisfactory performance, dandylines twisted"
"5.22","Satisfactory performance, floats missing or broken"
"-5.22","Unsatisfactory performance, floats missing or broken"
"5.3","Satisfactory performance, weather affected trawl performance"
"-5.3","Unsatisfactory performance, weather affected trawl performance"
"5.4","Satisfactory performance, unspecified door problem"
"-5.4","Unsatisfactory performance, unspecified door problem"
"5.41","Satisfactory performance, door digging or falling over"
"-5.41","Unsatisfactory performance, door digging or falling over"
"-5.42","Unsatisfactory performance, doors crossed"
"5.5","Satisfactory performance, net crabbing severely"
"-5.5","Unsatisfactory performance, net crabbing severely"
"5.6000000000000005","Satisfactory performance, codend not closed properly"
"-5.6000000000000005","Unsatisfactory performance, codend not closed properly"
"-5.7","Unsatisfactory performance, net unable to reach bottom due to strong currents"
"6","Satisfactory performance, unspecified problems"
"-6","Unsatisfactory performance, unspecified problems"
"6.1000000000000005","Satisfactory performance, depth change over tow exceeds survey defined limits"
"-6.1000000000000005","Unsatisfactory performance, depth change over tow exceeds normal limits"
"6.2","Satisfactory performance, unspecified main wire problems"
"-6.2","Unsatisfactory performance, unspecified main wire problems"
"6.21","Satisfactory performance, wire out less than recommended scope"
"-6.21","Unsatisfactory performance, wire out less than recommended scope"
"6.22","Satisfactory performance, wire out greater than recommended scope"
"-6.22","Unsatisfactory performance, wire out greater than recommended scope"
"6.23","Satisfactory performance, unequal wire out"
"-6.23","Unsatisfactory performance, unequal wire out"
"6.24","Satisfactory performance, scope changed during tow"
"-6.24","Unsatisfactory performance, scope changed during tow"
"6.3","Satisfactory performance, unspecified mechanical problems"
"-6.3","Unsatisfactory performance, unspecified mechanical problems"
"6.3100000000000005","Satisfactory performance, haulback delayed due to mechanical problems"
"-6.3100000000000005","Unsatisfactory performance, haulback delayed due to mechanical problems"
"7","Satisfactory performance, on deck sampling error MACE"
"-7.1000000000000005","Unsatisfactory performance, methot twisted codend"
"-7.2","Unsatisfactory performance, methot broken or lost codend"
"-7.3","Unsatisfactory performance, methot bottom contact"
"-7.4","Unsatisfactory performance, methot torn net"
"-8","Unsatisfactory performance, marine mammals in area, event scrubbed."
"8","Satisfactory performance, marine mammals in area, event terminated early."
"-1.3"," Unsatisfactory; mid-water net touched bottom"
"1.3","Satisfactory;mid-water net touched bottom"
