"event_type","description"
"0","Opportunistic bottom sample"
"1","Off-bottom sample"
"10","Off-bottom sample; targeted for time of day"
"11","Oblique tow"
"12","Video camera sled tow"
"13","Index sample tow"
"14","Unknown"
"2","Off-bottom tow with multiple gear depths"
"3","Standard bottom sample"
"4","Fishing power comparative sample"
"5","Commercial prospect sample"
"6","Bottom trawl on pre-determined trackline"
"7","Fishing gear experiment"
"8","Opportunistic off-bottom sample"
"9","Tow for collecting fish for tagging and release"
"16","CTD Cast"
"15","Target strength sample"
"-99","Stub event. This event entry is a stub used to satisfy FK constraints within MACEBASE2. The real data exists in another CLAMS database defined in this stub survey's survey description."
