"measurement_type","parameter_type","parameter_unit","description","is_length"
"HeadRopeDepth","float","m","Serial_external","0"
"spawning_condition","string","none","Software","0"
"fork_length","float","cm","The measured fork length of a specimen","1"
"standard_length","float","cm","The measured standard length of a specimen","1"
"total_length","float","cm","The measured total length of a specimen","1"
"bell_diameter","float","cm","The diameter of a jelly doughnut","1"
"barcode","integer","none","Serial","0"
"basket_weight","float","kg","Serial","0"
"gonad_weight","float","g","Serial","0"
"length","float","cm","DEPRECATED - This is the old non-specific length measurement which is no longer used. All measurements of length should be using a more specific type such as ""fork_length""","0"
"liver_weight","float","g","Serial","0"
"maturity","integer","none","Software","0"
"organism_weight","float","g","Serial","0"
"sex","string","none","Software","0"
"stomach_contents_weight","float","g","Serial","0"
"stomach_taken","integer","none","Software","0"
"tag_number","string","none","Software","0"
"Latitude","string","deg","SCS","0"
"Longitude","string","deg","SCS","0"
"SOG","float","kn","SCS","0"
"Heading","float","deg","SCS","0"
"SurfaceTemp","float","c","SCS","0"
"SurfaceSalinity","float","PSU","SCS","0"
"WindSpeed","float","kn","SCS","0"
"WindDirection","float","deg","SCS","0"
"BottomDepth","float","m","SCS","0"
"TrawlWireOut","float","m","SCS","0"
"OceoWireOut","float","m","SCS","0"
"NetVerticalOpening","float","m","Software","0"
"NetHorizontalOpening","float","m","Software","0"
"HeadRopeHeight","float","m","Software","0"
"ITIBearingToTarget","float","deg","SCS","0"
"ITIDepth","float","m","SCS","0"
"ITIRangeToTarget","float","m","SCS","0"
"FS70DepthBelowSounder","float","m","SCS","0"
"FS70GearTemperature","float","c","SCS","0"
"SBEPressure","float","dbar","Serial_external","0"
"SBETemperature","float","c","Serial_external","0"
"ovary_taken","integer","none","Software","0"
"age","integer","none","Externally loaded","0"
"ITITemperature","float","c","SCS","0"
"vial_number","integer","none","Vial number used to link sample in vial to specimen it was taken from.","0"
"comment","string","none","Software","0"
"ProtectedSppObsStart","string","none","The time and comment, if any, when a protected s observation period starts","0"
"ProtectedSppObsEnd","string","none","The time and comment, if any, when a protected s observation period ends","0"
"ProtectedSppObserver","string","none","The name of the observer during this protected spp observation period","0"
"None","string","none","A null measurement type for devices that do not provide measurements (SBE, Label Printer)","0"
"otolith_taken","integer","none","Software","0"
"tissue_sample_taken","integer","none","Software","0"
"preanal_fin_length","float","cm","Measured length of specimen from head to anal fin insertion","0"
"Hull-Temp-Mid-calC_5_min_avg","float","c","The sea surface temperature measured by the mid hull sensor averaged over 5 minute intervals","0"
"Mid-SeaTemp-C-Cal-VALUE_1_min_avg","float","c","The sea surface temperature measured by the mid hull sensor averaged over 1 minute intervals","0"
"TSG-SBE38-Temp_1_min_avg","float","c","The sea surface temperature measured by the TSG sensor averaged over 1 min intervals","0"
"TSG-SBE45-Sal_1_min_avg","float","PSU","The sea surface salinity measured by the TSG sensor averaged over 1 min intervals","0"
"fin_missing","string","none","Any fins missing from salmon samples (none, adipose, dorsal, pectoral, pelvic, anal, caudal)","0"
"finclip_vial_num","integer","none","Vial number used to link finclip sample to specimen it was taken from.","0"
"gill_vial_num","integer","none","Vial number used to link gill sample to specimen it was taken from.","0"
"SBEDepth","float","m","Serial_external","0"
"camera_depth","float","m","CTControl (CamTrawl)","0"
"camera_frame_number","integer","none","CTControl (CamTrawl)","0"
"SBELocation","string","none","Software","0"
"mantle_length","float","cm","The mantle length of a squid or squid like beast.","1"
"wing_span","float","cm","Size measurement for skates and rays","1"
"carapace_length","float","cm","The measured carapace length of a specimen","1"
"TSGTemperature","float","deg","SCS","0"
