"parameter_units","description"
"none","Unitless measurement"
"mm","millimeter"
"cm","centimeter"
"m","meter"
"km","kilometer"
"mg","milligram"
"g","gram"
"kg","kilogram"
"nmi","nautical mile"
"kn","knot"
"c","degrees Celsius"
"kHz","kilohertz"
"Hz","hertz"
"dB","decibels"
"m^2","square meters"
"m^3","cubic meters"
"nmi^2","square nautical miles "
"deg","decimal degrees from true north (for heading) or decimal degrees from the prime meridian or equator (for Lon/Lat)"
"dbar","decibar (non-SI unit of pressure) 1 dbar = 10"
"PSU","Practical Salinity Unit - the unit of the dimensionless Practical Salinity Scale"
"datetime","Time as a date and time - may include fractional seconds"
"lb","US Pound"
