"event_parameter","gui_widget_name","parameter_type","parameter_units","description","device_id"
"behavior","behavior_le","string","none","behavior of species during event","0"
"characteristics","characteristics_le","string","none","description of distinguishing characteristcs observed about the species","0"
"cloud cover","cloud_cover_cb","string","none","cloud cover during event on the Okta scale","0"
"depth","depth_le","float","m","water depth during event","107"
"distance to observed","distance_le","float","m","distance to observed animal","0"
"event date","event_date_le","string","none","date of event","0"
"event description","event_description_te","string","none","description of what occurred during the event","0"
"event id","event_id_la","string","none","the unique event number for this event","0"
"event time","event_time_le","string","none","time of event","0"
"event type","event_type_cb","string","none","type of event: significant observation, direct interaction or other","0"
"event type other","event_type_other_le","string","none","event description if event type is other","0"
"gear contact","gear_contact_cb","string","none","did gear come in contact with the animal","0"
"gear type","gear_type_cb","string","none","type of gear during event","0"
"latitude","latitude_le","float","deg","latitude of event","100"
"longitude","longitude_le","float","deg","longitude of event","101"
"measures taken","measures_taken_te","string","none","measures taken to minimize event","0"
"number of animals","number_of_animals_le","integer","none","number of animals observed or interacted","0"
"number of photos","number_photos_le","integer","none","how many photos were taken","0"
"on vessel","on_vessel_cb","string","none","is the animal on board the vessel","0"
"photos taken","photos_taken_cb","string","none","were there photos taken","0"
"region","region_cb","string","none","region of event as defined by the IHO sea area","0"
"release condition","release_condition_cb","string","none","what was the release condition","0"
"released alive","released_alive_cb","string","none","was the animal released alive","0"
"scientist","scientist_cb","string","none","name of person making report","0"
"sea state ","sea_state_cb","string","none","sea state during event on the WMO sea state scale","0"
"seen live","seen_live_cb","string","none","was the animal seen alive","0"
"ship","ship_la","string","none","the RACE vessel code for the ship where the event occurred","0"
"species name","species_name_cb","string","none","name of species identified during event","0"
"species name other","species_name_other_le","string","none","name of species identified if not in the populated list of common species","0"
"survey","survey_la","string","none","the survey number for the survey where the event occurred","0"
"survey name","survey_name_la","string","none","the name of the survey where the event occurred","0"
"transect","transect_le","integer","none","transect of event","0"
"true wind direction","wind_direction_le","float","none","direction of wind during event","105"
"vessel contact","vessel_contact_cb","string","none","did the vessel interact with animal","0"
"visibility","visibility_cb","string","none","visibility during event on the International visibility scale","0"
"wind speed","wind_speed_le","float","kn","wind speed at time of event","104"
"sea state","sea_state_cb","string","none","sea state during event on the WMO sea state scale","0"
