"species_parameter","description","parameter_type","parameter_unit"
"Common_Name","A common name for this species.","string","none"
"Scientific_Name","The scientific name for this species.","string","none"
"Min_Length","The minimum length allowed for this species.","float","cm"
"Max_Length","The maximum length allowed for this species.","float","cm"
"Length_Type","The length measurement type to be used for this species.","string","none"
"Min_Weight","The minimum individual weight allowed for this species.","float","g"
"Max_Weight","The maximum individual weight allowed for this species.","float","g"
"A_Param","The A_Param","float","none"
"B_Param","The B_Param","float","none"
"Maturity_Table","The maturity table to be used for this species.","string","none"
"Previous_Occurrence","A boolean value specifying whether this species has been seen in a previous survey.","boolean","none"
"Allow_Null_Count","Allow_Null_Count","boolean","none"
"Plankton_Species","Plankton_Species","boolean","none"
"ITIS_Code","The Integrated Taxonomic Information System Code for this species.","code_table","none"
"Subcategory","Defines the subcategories a species may have.","system_parameter","none"
"Primary_Length_Type","The typical length type (fork, standard, total) used for a species+subcategory. This is the default type presented in CLAMS","string","none"
"Secondary_Length_Type","An alternate length type that can be used for a species+subcategory  if the primary length type is not ideal for a specific sample.","string","none"
"Specific_TS_Relationship","The ts for when species exceed the 5% numeric abundance...","string","none"
"Default_Length_Conversion","this is the python function that should be used to convert the lengths from different length measurement types","string","none"
"Default_TS_Relationship","The default Target Strength relationship to use during analysis","string","none"
"Depth_Dependent_TS","Does this species have a depth dependent TS","boolean","none"
